fuente,columna,nombre_original
kx2f,_2_nro_corresponsales_f_sicos,(2) NRO_CORRESPONSALES_FÍSICOS_TERCERIZADOS
kx2f,_3_nro_corresponsales_f_sicos,(3) NRO_CORRESPONSALES_FÍSICOS_ACTIVOS
kx2f,_4_nro_corresponsales_f_sicos,(4) NRO_CORRESPONSALES_FÍSICOS
kx2f,_5_nro_dep_sitos,(5) NRO_DEPÓSITOS_CORRESPONSALES_FÍSICOS
kx2f,_6_monto_dep_sitos,(6) MONTO_DEPÓSITOS_CORRESPONSALES_FÍSICOS
kx2f,_7_nro_giros_enviados,(7) NRO_GIROS_ENVIADOS_CORRESPONSALES_FÍSICOS
kx2f,_8_monto_giros_enviados,(8) MONTO_GIROS_ENVIADOS_CORRESPONSALES_FÍSICOS
kx2f,_9_nro_giros_recibidos,(9) NRO_GIROS_RECIBIDOS_CORRESPONSALES_FÍSICOS
kx2f,_10_monto_giros_recibidos,(10) MONTO_GIROS_RECIBIDOS_CORRESPONSALES_FÍSICOS
kx2f,_11_nro_pagos_corresponsales,(11) NRO_PAGOS_CORRESPONSALES_FÍSICOS
kx2f,_12_monto_pagos_corresponsales,(12) MONTO_PAGOS_CORRESPONSALES_FÍSICOS
kx2f,_13_nro_retiros_corresponsales,(13) NRO_RETIROS_CORRESPONSALES_FÍSICOS
kx2f,_14_monto_retiros,(14) MONTO_RETIROS_CORRESPONSALES_FÍSICOS
kx2f,_15_nro_transferencias,(15) NRO_TRANSFERENCIAS_CORRESPONSALES_FÍSICOS
kx2f,_16_monto_transferencias,(16) MONTO_TRANSFERENCIAS_CORRESPONSALES_FÍSICOS
kx2f,_17_nro_transacciones_tr,(17) NRO_TRANSACCIONES_TRÁMITES_CORRESPONSALES_FÍSICOS
kx2f,_18_monto_transacciones,(18) MONTO_TRANSACCIONES_CORRESPONSALES_FÍSICOS
kx2f,_19_nro_ctas_ahorro_hasta,(19) NRO_CTAS_AHORRO_HASTA_1SMMLV
