dimension,peso,varianza_intra_dimension,participacion,participacion_propia,varianza_intra_compuesto,fraccion_intra_de_la_total,n_obs
acceso,0.3333333333333333,0.9240725682533952,0.8745567250179606,0.8242779667956149,0.12456323466352177,0.07558807252030113,260
uso,0.3333333333333333,0.04465494990358094,0.1022465965080088,0.039832468334662634,0.12456323466352177,0.07558807252030113,260
profundidad,0.3333333333333333,0.03328957051223349,0.023196678474030754,0.029694485519884666,0.12456323466352177,0.07558807252030113,260
