,iif_compuesto,iif_pca,iif_sarma
iif_compuesto,1.0,0.9566748256403429,0.8986003983666373
iif_pca,0.9566748256403429,1.0,0.8489435223321121
iif_sarma,0.8986003983666373,0.8489435223321121,1.0
