fuente,dpto_ccdgo,tipo_id,columna,v,ptgf_column,kx2f_column,numero,v_kx2f,tipo_kx2f,rel
ptgf,08,cuentas_ahorro,nro1y3smmlv,128440.0,nro1y3smmlv,_21_nro_ctas_ahorro_1smmlv,21,128968.0,cuentas_ahorro,0.0041108688881968235
ptgf,11,cuentas_ahorro,nro1y3smmlv,973348.0,nro1y3smmlv,_21_nro_ctas_ahorro_1smmlv,21,977503.0,cuentas_ahorro,0.004268771292487373
ptgf,27,cuentas_ahorro,nro1y3smmlv,12396.0,nro1y3smmlv,_21_nro_ctas_ahorro_1smmlv,21,12359.0,cuentas_ahorro,0.002984833817360439
ptgf,41,cuentas_ahorro,nro1y3smmlv,51030.0,nro1y3smmlv,_21_nro_ctas_ahorro_1smmlv,21,50995.0,cuentas_ahorro,0.0006858710562414266
ptgf,70,cuentas_ahorro,nro1y3smmlv,23902.0,nro1y3smmlv,_21_nro_ctas_ahorro_1smmlv,21,23855.0,cuentas_ahorro,0.0019663626474771987
ptgf,73,cuentas_ahorro,nro1y3smmlv,81180.0,nro1y3smmlv,_21_nro_ctas_ahorro_1smmlv,21,81094.0,cuentas_ahorro,0.0010593742301059374
ptgf,91,cuentas_ahorro,nro1y3smmlv,2163.0,nro1y3smmlv,_21_nro_ctas_ahorro_1smmlv,21,2157.0,cuentas_ahorro,0.0027739251040221915
ptgf,19,cuentas_ahorro_electronicas,nroactivasche,1582.0,nroactivasche,,33,,,
ptgf,20,cuentas_ahorro_electronicas,nroactivasche,361.0,nroactivasche,,33,,,
ptgf,41,cuentas_ahorro_electronicas,nroactivasche,630.0,nroactivasche,,33,,,
ptgf,44,cuentas_ahorro_electronicas,nroactivasche,71.0,nroactivasche,,33,,,
ptgf,63,cuentas_ahorro_electronicas,nroactivasche,98.0,nroactivasche,,33,,,
ptgf,66,cuentas_ahorro_electronicas,nroactivasche,103.0,nroactivasche,,33,,,
ptgf,88,cuentas_ahorro_electronicas,nroactivasche,19.0,nroactivasche,,33,,,
ptgf,05,cuentas_ahorro_electronicas,saldoactivasche,76838486.5,saldoactivasche,,34,,,
ptgf,08,cuentas_ahorro_electronicas,saldoactivasche,951252.0,saldoactivasche,,34,,,
ptgf,23,cuentas_ahorro_electronicas,saldoactivasche,53556191.0,saldoactivasche,,34,,,
ptgf,52,cuentas_ahorro_electronicas,saldoactivasche,1711035249.0,saldoactivasche,,34,,,
ptgf,70,cuentas_ahorro_electronicas,saldoactivasche,5599642.0,saldoactivasche,,34,,,
ptgf,85,cuentas_ahorro_electronicas,saldoactivasche,6041098.0,saldoactivasche,,34,,,
ptgf,94,cuentas_ahorro_electronicas,saldoactivasche,149643.0,saldoactivasche,,34,,,
ptgf,18,cuentas_ahorro_electronicas,totalnroche,78421.0,totalnroche,,39,,,
ptgf,25,cuentas_ahorro_electronicas,totalnroche,127329.0,totalnroche,,39,,,
ptgf,27,cuentas_ahorro_electronicas,totalnroche,61784.0,totalnroche,,39,,,
ptgf,54,cuentas_ahorro_electronicas,totalnroche,154413.0,totalnroche,,39,,,
ptgf,73,cuentas_ahorro_electronicas,totalnroche,142644.0,totalnroche,,39,,,
ptgf,76,cuentas_ahorro_electronicas,totalnroche,261879.0,totalnroche,,39,,,
ptgf,91,cuentas_ahorro_electronicas,totalnroche,6287.0,totalnroche,,39,,,
ptgf,05,cuentas_ahorro_electronicas,totalsaldoche,11749322095.5,totalsaldoche,,40,,,
ptgf,08,cuentas_ahorro_electronicas,totalsaldoche,6323646351.0,totalsaldoche,,40,,,
ptgf,23,cuentas_ahorro_electronicas,totalsaldoche,5689312194.0,totalsaldoche,,40,,,
ptgf,52,cuentas_ahorro_electronicas,totalsaldoche,8688734436.0,totalsaldoche,,40,,,
ptgf,70,cuentas_ahorro_electronicas,totalsaldoche,2334535427.0,totalsaldoche,,40,,,
ptgf,85,cuentas_ahorro_electronicas,totalsaldoche,1149480498.0,totalsaldoche,,40,,,
ptgf,94,cuentas_ahorro_electronicas,totalsaldoche,77677697.0,totalsaldoche,,40,,,
ptgf,50,microcredito,generomontohmicro,26772132434.48,generomontohmicro,_74_monto_microcr_dito_hombres,74,26772132434.48,microcredito,0.0
ptgf,54,microcredito,generomontohmicro,21183527496.0,generomontohmicro,_74_monto_microcr_dito_hombres,74,21183527496.0,microcredito,0.0
ptgf,73,microcredito,generomontohmicro,35012783242.13,generomontohmicro,_74_monto_microcr_dito_hombres,74,35012783242.130005,microcredito,2.179031149420233e-16
ptgf,81,microcredito,generomontohmicro,6773761471.389999,generomontohmicro,_74_monto_microcr_dito_hombres,74,6773761471.39,microcredito,1.407894742727858e-16
ptgf,85,microcredito,generomontohmicro,11375306487.0,generomontohmicro,_74_monto_microcr_dito_hombres,74,11375306487.0,microcredito,0.0
ptgf,86,microcredito,generomontohmicro,9451658335.0,generomontohmicro,_74_monto_microcr_dito_hombres,74,9451658335.0,microcredito,0.0
ptgf,97,microcredito,generomontohmicro,354149598.0,generomontohmicro,_74_monto_microcr_dito_hombres,74,354149598.0,microcredito,0.0
